hospital_name,region,source_page_url,mrf_download_url,file_type,contact_name,contact_email
"Alta Bates Summit Medical Center Alta Bates Campus","East Bay","https://www.sutterhealth.org/billing-insurance/costs-and-charges/cost-transparency/","https://www.sutterhealth.org/-/media/Project/SutterHealth/SutterHealth/files/billing-insurance/costs-and-charges/940562680-1639523004_alta-bates-summit-medical-center-alta-bates-campus_standardcharges.csv","CSV","Marjorie Clark","Marjorie.Clark@sutterhealth.org"
"Alta Bates Summit Medical Center Herrick Campus","East Bay","https://www.sutterhealth.org/billing-insurance/costs-and-charges/cost-transparency/","https://www.sutterhealth.org/-/media/Project/SutterHealth/SutterHealth/files/billing-insurance/costs-and-charges/940562680-1447604814_alta-bates-summit-medical-center-herrick-campus_standardcharges.csv","CSV","Marjorie Clark","Marjorie.Clark@sutterhealth.org"
"Highland Hospital","East Bay","https://www.alamedahealthsystem.org/price-transparency/","https://www.alamedahealthsystem.org/wp-content/uploads/pricing/943302014_highland-hospital_standardcharges.csv","CSV","Seth Kriz","sekriz@alamedahealthsystem.org"
"Alameda Hospital","East Bay","https://www.alamedahealthsystem.org/price-transparency/","https://www.alamedahealthsystem.org/wp-content/uploads/pricing/943302014_alameda-hospital_standardcharges.csv","CSV","Seth Kriz","sekriz@alamedahealthsystem.org"
"Fairmont Hospital","East Bay","https://www.alamedahealthsystem.org/price-transparency/","https://www.alamedahealthsystem.org/wp-content/uploads/pricing/943302014_fairmont-hospital_standardcharges.csv","CSV","Seth Kriz","sekriz@alamedahealthsystem.org"
"John George Psychiatric Hospital","East Bay","https://www.alamedahealthsystem.org/price-transparency/","https://www.alamedahealthsystem.org/wp-content/uploads/pricing/943302014_john-george-psychiatric-hospital_standardcharges.csv","CSV","Seth Kriz","sekriz@alamedahealthsystem.org"
"San Leandro Hospital","East Bay","https://www.alamedahealthsystem.org/price-transparency/","https://www.alamedahealthsystem.org/wp-content/uploads/pricing/943302014_san-leandro-hospital_standardcharges.csv","CSV","Seth Kriz","sekriz@alamedahealthsystem.org"
"Kaiser Oakland Medical Center","East Bay","https://healthy.kaiserpermanente.org/northern-california/doctors-locations/price-transparency","https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/health-plan-documents/coverage-information/machine-readable/941105628-oakland-medical-center-standard-charges-ncal-en.csv","CSV","Brad Tinnermon","Brad.S.Tinnermon@kp.org"
"Kaiser Richmond Medical Center","East Bay","https://healthy.kaiserpermanente.org/northern-california/doctors-locations/price-transparency","https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/health-plan-documents/coverage-information/machine-readable/941105628-richmond-medical-center-standard-charges-ncal-en.csv","CSV","Brad Tinnermon","Brad.S.Tinnermon@kp.org"
"Kaiser Antioch Medical Center","East Bay","https://healthy.kaiserpermanente.org/northern-california/doctors-locations/price-transparency","https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/health-plan-documents/coverage-information/machine-readable/941105628-antioch-medical-center-standard-charges-ncal-en.csv","CSV","Brad Tinnermon","Brad.S.Tinnermon@kp.org"
"Kaiser Fremont Medical Center","East Bay","https://healthy.kaiserpermanente.org/northern-california/doctors-locations/price-transparency","https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/health-plan-documents/coverage-information/machine-readable/941105628-fremont-medical-center-standard-charges-ncal-en.csv","CSV","Brad Tinnermon","Brad.S.Tinnermon@kp.org"
"Kaiser San Leandro Medical Center","East Bay","https://healthy.kaiserpermanente.org/northern-california/doctors-locations/price-transparency","https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/health-plan-documents/coverage-information/machine-readable/941105628-san-leandro-medical-center-standard-charges-ncal-en.csv","CSV","Brad Tinnermon","Brad.S.Tinnermon@kp.org"
"Kaiser Walnut Creek Medical Center","East Bay","https://healthy.kaiserpermanente.org/northern-california/doctors-locations/price-transparency","https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/health-plan-documents/coverage-information/machine-readable/941105628-walnut-creek-medical-center-standard-charges-ncal-en.csv","CSV","Brad Tinnermon","Brad.S.Tinnermon@kp.org"
"John Muir Health Walnut Creek Medical Center","East Bay","https://www.johnmuirhealth.com/patients-and-visitors/payment-and-insurance/cost-estimator.html","https://www.johnmuirhealth.com/content/dam/jmh/Documents/payments-and-insurance/machine-readable-files/94-1461843-1740215219_John-Muir-Health-Walnut-Creek-Medical-Center_standardcharges.zip","ZIP","Carolyn Castro","machinereadablefilepointofcontact@johnmuirhealth.com"
"John Muir Health Concord Medical Center","East Bay","https://www.johnmuirhealth.com/patients-and-visitors/payment-and-insurance/cost-estimator.html","https://www.johnmuirhealth.com/content/dam/jmh/Documents/payments-and-insurance/machine-readable-files/68-0396600-1801821376_John-Muir-Health-Concord-Medical-Center_standardcharges.zip","ZIP","Carolyn Castro","machinereadablefilepointofcontact@johnmuirhealth.com"
"John Muir Health Behavioral Health Center","East Bay","https://www.johnmuirhealth.com/patients-and-visitors/payment-and-insurance/cost-estimator.html","https://www.johnmuirhealth.com/content/dam/jmh/Documents/payments-and-insurance/machine-readable-files/68-0249685-1215962782_John-Muir-Health-Behavioral-Health-Center_standardcharges.zip","ZIP","Carolyn Castro","machinereadablefilepointofcontact@johnmuirhealth.com"
"Eden Medical Center","East Bay","https://www.sutterhealth.org/billing-insurance/costs-and-charges/cost-transparency/","https://www.sutterhealth.org/-/media/Project/SutterHealth/SutterHealth/files/billing-insurance/costs-and-charges/940562680-1063812907_eden-medical-center_standardcharges.csv","CSV","Marjorie Clark","Marjorie.Clark@sutterhealth.org"
"Washington Hospital Fremont","East Bay","https://apps.para-hcfs.com/PTT/FinalLinks/Washington_Fremont_V3.aspx","https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbWashingtonHospitalCA&type=CDMWithoutLabel&fileType=CSV","CSV","Marcus Watkins","marcus_watkins@whhs.com"
"Sutter Delta Medical Center","Contra Costa","https://www.sutterhealth.org/billing-insurance/costs-and-charges/cost-transparency/","https://www.sutterhealth.org/-/media/Project/SutterHealth/SutterHealth/files/billing-insurance/costs-and-charges/940562680-1467808659_sutter-delta-medical-center_standardcharges.csv","CSV","Marjorie Clark","Marjorie.Clark@sutterhealth.org"
"Contra Costa Regional Medical Center","Contra Costa","https://www.cchealth.org/get-care/medical-center-services","https://www.cchealth.org/home/showpublisheddocument/29234","Unknown","Christopher Melgoza","christopher.melgoza@cchealth.org"
"San Ramon Regional Medical Center","Contra Costa","https://www.sanramonmedctr.com/patients/pricing-info-estimates/hospital-pricing-information","https://mrfs.hyvehealthcare.com/TenetHealth/752918809_SanRamonRegionalMedicalCenter_standardcharges.json","JSON","Beenu Chadha","Beenu.Chadha@tenethealth.com"
"Stanford Health Care","South Bay","https://stanfordhealthcare.org/for-patients-visitors/price-transparency.html","https://stanfordhealthcare.org/content/dam/SHC/patientsandvisitors/pricingtransparency/946174066_stanford-health-care_standardcharges.json","JSON","Debra Bohn","dbohn@stanfordhealthcare.org"
"Stanford Health Care Tri-Valley (ValleyCare)","South Bay","https://stanfordhealthcare.org/for-patients-visitors/price-transparency.html","https://stanfordhealthcare.org/content/dam/valleycare/patients-visitors/941429628_stanford-health-care---tri-valley_standardcharges.json","JSON","Debra Bohn","dbohn@stanfordhealthcare.org"
"Lucile Packard Children's Hospital Stanford","South Bay","https://www.stanfordchildrens.org/en/patients-families/finance-assistance/pricing-transparency.html","https://www.stanfordchildrens.org/content/dam/sch/config-public/charges/770003859-lucile-salter-packard-childrens-hospital-at-stanford-standardcharges.json","JSON","Kristien Karmarkar","kkarmarkar@stanfordchildrens.org"
"El Camino Hospital Los Gatos","South Bay","https://www.elcaminohealth.org/patients-visitors-guide/before-you-arrive/pricing-estimates/price-transparency","https://www.elcaminohealth.org/sites/default/files/2025-10/943167314_el-camino-hospital_standardcharges.json","JSON","Sandi Fujitani","pricetransparency@elcaminohealth.org"
"El Camino Hospital Mountain View","South Bay","https://www.elcaminohealth.org/patients-visitors-guide/before-you-arrive/pricing-estimates/price-transparency","https://www.elcaminohealth.org/sites/default/files/2025-10/943167314_el-camino-hospital_standardcharges.json","JSON","Sandi Fujitani","pricetransparency@elcaminohealth.org"
"Santa Clara Valley Medical Center","South Bay","https://scvmc.scvh.org/patients-visitors/patient-services/price-transparency-cost-estimator","https://scvmc.scvh.org/946000533_santa-clara-valley-medical-center_standardcharges.csv","CSV","Lisa Pfeifer","lisa.pfeifer@hhs.sccgov.org"
"O'Connor Hospital","South Bay","https://och.scvh.org/about-us/price-transparency-cost-estimator","https://och.scvh.org/946000533_o-connor-hospital_standardcharges.csv","CSV","Lisa Pfeifer","lisa.pfeifer@hhs.sccgov.org"
"Regional Medical Center San Jose","South Bay","https://rmc.scvh.org/patients-visitors/patient-services/price-transparency-cost-estimator","https://rmc.scvh.org/946000533_regional-medical-center_standardcharges.csv","CSV","Lisa Pfeifer","lisa.pfeifer@hhs.sccgov.org"
"St. Louise Regional Hospital Gilroy","South Bay","https://slrh.scvh.org/about-us/price-transparency-cost-estimator","https://slrh.scvh.org/946000533_st-louise-regional-hospital_standardcharges.csv","CSV","Lisa Pfeifer","lisa.pfeifer@hhs.sccgov.org"
"Good Samaritan Hospital San Jose","South Bay","https://goodsamsanjose.com/patient-resources/patient-financial-resources/pricing-transparency-cms-required-file-of-standard-charges","https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/62-1763090_GOOD-SAMARITAN-HOSPITAL_standardcharges.json?si=pt-json-access-policy&spr=https&sv=2024-11-04&sr=c&sig=o5IofreS%2F7ETlsnhPakPWCwHVVUZRobywQ5wUKGjVuQ%3D","JSON","Good Samaritan Hospital MRF Team","GOODSAMARITANHOSPITALMRFTeam@HCAHealthcare.com"
"Good Samaritan Hospital Mission Oaks","South Bay","https://goodsamsanjose.com/patient-resources/patient-financial-resources/pricing-transparency-cms-required-file-of-standard-charges","https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/62-1763090_GOOD-SAMARITAN-HOSPITAL_standardcharges.json?si=pt-json-access-policy&spr=https&sv=2024-11-04&sr=c&sig=o5IofreS%2F7ETlsnhPakPWCwHVVUZRobywQ5wUKGjVuQ%3D","JSON","Good Samaritan Hospital MRF Team","GOODSAMARITANHOSPITALMRFTeam@HCAHealthcare.com"
"Kaiser Santa Clara Medical Center","South Bay","https://healthy.kaiserpermanente.org/northern-california/doctors-locations/price-transparency","https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/health-plan-documents/coverage-information/machine-readable/941105628-santa-clara-medical-center-standard-charges-ncal-en.csv","CSV","Brad Tinnermon","Brad.S.Tinnermon@kp.org"
"Kaiser San Jose Medical Center","South Bay","https://healthy.kaiserpermanente.org/northern-california/doctors-locations/price-transparency","https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/health-plan-documents/coverage-information/machine-readable/941105628-san-jose-medical-center-standard-charges-ncal-en.csv","CSV","Brad Tinnermon","Brad.S.Tinnermon@kp.org"
"Mills Peninsula Medical Center","Peninsula","https://www.sutterhealth.org/billing-insurance/costs-and-charges/cost-transparency/","https://www.sutterhealth.org/-/media/Project/SutterHealth/SutterHealth/files/billing-insurance/costs-and-charges/940562680-1043670334_mills-peninsula-medical-center_standardcharges.csv","CSV","Marjorie Clark","Marjorie.Clark@sutterhealth.org"
"Mills Health Center","Peninsula","https://www.sutterhealth.org/billing-insurance/costs-and-charges/cost-transparency/","https://www.sutterhealth.org/-/media/Project/SutterHealth/SutterHealth/files/billing-insurance/costs-and-charges/940562680-1043670342_mills-health-center_standardcharges.csv","CSV","Marjorie Clark","Marjorie.Clark@sutterhealth.org"
"Sequoia Hospital Redwood City","Peninsula","https://www.dignityhealth.org/bayarea/locations/sequoia/patients-and-visitors/for-patients/billing-and-payment/hospital-pricing-transparency","https://www.dignityhealth.org/content/dam/dignity-health/documents/mrf-json/northern-california/json/815009488_sequoia-hospital_standardcharges.json","JSON","Price Transparency Coordinator","pricetransparency@commonspirit.org"
"San Mateo Medical Center","Peninsula","https://www.smchealth.org/health-care-costs","https://www.smchealth.org/sites/main/files/file-attachments/946000532_san-mateo-medical-center_standardcharges.csv?1761847070","CSV","Revenue Integrity Department","hs_smmc_ri_pricetransparency@smcgov.org"
"Kaiser Redwood City Medical Center","Peninsula","https://healthy.kaiserpermanente.org/northern-california/doctors-locations/price-transparency","https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/health-plan-documents/coverage-information/machine-readable/941105628-redwood-city-medical-center-standard-charges-ncal-en.csv","CSV","Brad Tinnermon","Brad.S.Tinnermon@kp.org"
"Kaiser South San Francisco Medical Center","Peninsula","https://healthy.kaiserpermanente.org/northern-california/doctors-locations/price-transparency","https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/health-plan-documents/coverage-information/machine-readable/941105628-south-san-francisco-medical-center-standard-charges-ncal-en.csv","CSV","Brad Tinnermon","Brad.S.Tinnermon@kp.org"
"MarinHealth Medical Center","North Bay","https://www.cdmpricing.com/cc145ba21e574ef7da4a1ed8325d54f9","https://apim.services.craneware.com/api-pricing-transparency/api/public/cc145ba21e574ef7da4a1ed8325d54f9/charges/mrf","API","Paula Wart","Paula.Wart@mymarinhealth.org"
"Sutter Santa Rosa Regional Hospital","North Bay","https://www.sutterhealth.org/billing-insurance/costs-and-charges/cost-transparency/","https://www.sutterhealth.org/-/media/Project/SutterHealth/SutterHealth/files/billing-insurance/costs-and-charges/940562680-1740413798_sutter-santa-rosa-regional-hospital_standardcharges.csv","CSV","Marjorie Clark","Marjorie.Clark@sutterhealth.org"
"Novato Community Hospital","North Bay","https://www.sutterhealth.org/billing-insurance/costs-and-charges/cost-transparency/","https://www.sutterhealth.org/-/media/Project/SutterHealth/SutterHealth/files/billing-insurance/costs-and-charges/940562680-1104059153_novato-community-hospital_standardcharges.csv","CSV","Marjorie Clark","Marjorie.Clark@sutterhealth.org"
"Kaiser San Rafael Medical Center","North Bay","https://healthy.kaiserpermanente.org/northern-california/doctors-locations/price-transparency","https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/health-plan-documents/coverage-information/machine-readable/941105628-san-rafael-medical-center-standard-charges-ncal-en.csv","CSV","Brad Tinnermon","Brad.S.Tinnermon@kp.org"
"Kaiser Santa Rosa Medical Center","North Bay","https://healthy.kaiserpermanente.org/northern-california/doctors-locations/price-transparency","https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/health-plan-documents/coverage-information/machine-readable/941105628-santa-rosa-medical-center-standard-charges-ncal-en.csv","CSV","Brad Tinnermon","Brad.S.Tinnermon@kp.org"
"Queen of the Valley Medical Center Napa","North Bay","https://www.providence.org/billing-support/pricing-transparency","https://pricetransparency.providence.org/norcal/live/814791043_providence-queen-of-the-valley-medical-center_standardcharges.json","JSON","Don Anderson","providencepricingcompliance@providence.org"
"Petaluma Valley Hospital","North Bay","https://www.providence.org/billing-support/pricing-transparency","https://pricetransparency.providence.org/norcal/live/852390012_petaluma-valley-hospital_standardcharges.json","JSON","Don Anderson","providencepricingcompliance@providence.org"
"Healdsburg Hospital","North Bay","https://www.providence.org/billing-support/pricing-transparency","https://pricetransparency.providence.org/norcal/live/852390012_healdsburg-hospital_standardcharges.json","JSON","Don Anderson","providencepricingcompliance@providence.org"
"Santa Rosa Memorial Hospital","North Bay","https://www.providence.org/billing-support/pricing-transparency","https://pricetransparency.providence.org/norcal/live/814791043_providence-santa-rosa-memorial-hospital_standardcharges.json","JSON","Don Anderson","providencepricingcompliance@providence.org"
"NorthBay Medical Center Fairfield","Solano","https://www.northbay.org/patients-visitors/price-transparency.html","https://www.northbay.org/upload/941458282_northbay-medical-center_standardcharges.json","JSON","Janai Bolds","Janai.Bolds@NorthBay.org"
"NorthBay VacaValley Hospital","Solano","https://www.northbay.org/patients-visitors/price-transparency.html","https://www.northbay.org/upload/941458282_northbay-vacavalley-hospital_standardcharges.json","JSON","Janai Bolds","Janai.Bolds@NorthBay.org"
"Sutter Solano Medical Center Vallejo","Solano","https://www.sutterhealth.org/billing-insurance/costs-and-charges/cost-transparency/","https://www.sutterhealth.org/-/media/Project/SutterHealth/SutterHealth/files/billing-insurance/costs-and-charges/941156621-1366686248_sutter-solano-medical-center_standardcharges.csv","CSV","Marjorie Clark","Marjorie.Clark@sutterhealth.org"
"Kaiser Vacaville Medical Center","Solano","https://healthy.kaiserpermanente.org/northern-california/doctors-locations/price-transparency","https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/health-plan-documents/coverage-information/machine-readable/941105628-vacaville-medical-center-standard-charges-ncal-en.csv","CSV","Brad Tinnermon","Brad.S.Tinnermon@kp.org"
"Kaiser Vallejo Medical Center","Solano","https://healthy.kaiserpermanente.org/northern-california/doctors-locations/price-transparency","https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/health-plan-documents/coverage-information/machine-readable/941105628-vallejo-medical-center-standard-charges-ncal-en.csv","CSV","Brad Tinnermon","Brad.S.Tinnermon@kp.org"
"Dominican Hospital Santa Cruz","Extended Bay Area","https://www.dignityhealth.org/bayarea/locations/dominican/patients-and-visitors/for-patients/billing-and-payment/hospital-pricing-transparency","https://www.dignityhealth.org/content/dam/dignity-health/documents/mrf-json/northern-california/json/941196203_dominican-hospital_standardcharges.json","JSON","Price Transparency Coordinator","pricetransparency@commonspirit.org"
"Watsonville Community Hospital","Extended Bay Area","https://watsonvillehospital.com/pricing-transparency/","https://s3.amazonaws.com/ycubaa-production-marlin-1-charge-management-public/facilities/e21d6544-b3b7-44c8-8df0-60cd8284ed13/911894113_WATSONVILLE-COMMUNITY-HOSPITAL_standardcharges.zip","ZIP","Regina Hernandez","reginam_hernandez@watsonvillehospital.com"
"Sutter Maternity & Surgery Center Santa Cruz","Extended Bay Area","https://www.sutterhealth.org/billing-insurance/costs-and-charges/cost-transparency/","https://www.sutterhealth.org/-/media/Project/SutterHealth/SutterHealth/files/billing-insurance/costs-and-charges/940562680-1689035628_sutter-maternity-surgery-center-of-santa-cruz_standardcharges.csv","CSV","Marjorie Clark","Marjorie.Clark@sutterhealth.org"
